id,user_name,user_location,date,text,hashtags,retweets,favorites,Country,Latitude,Longitude,cleaned_text
1629171801271201792,Viral Tab,United Kingdom,2023-02-24 17:30:00+00:00,Brothers pulled from under tonnes of rubble in the #TurkeyQuake after being trapped for 198 hours have told how the… https://t.co/aJeIdtwYm2,['TurkeyQuake'],0.0,0.0,United Kingdom,55.3781,-3.436,brother pulled tonne rubble turkeyquake trapped hour told
1629101365011300353,Reza Sadiq Rizvi,"Noida, India",2023-02-24 12:50:07+00:00,"Pray for Turkey🇹🇷 &amp; Syria🇸🇾

#TurkeyQuake | #Turkey
#syriaearthquake | #Syria https://t.co/j1o1C6i006","['TurkeyQuake', 'Turkey', 'syriaearthquake', 'Syria']",0.0,3.0,India,20.5937,78.9629,pray turkey amp syria turkeyquake turkey syriaearthquake syria
1629095987783340032,विष्णुगुप्त उवाच,"New Delhi, India",2023-02-24 12:28:45+00:00,"We will always remember @sardesairajdeep @BDUTT @ravishndtv for horrifying images of cremation, grieving relatives,… https://t.co/oxNxhXb6PZ",,21.0,28.0,India,20.5937,78.9629,always remember sardesairajdeep bdutt ravishndtv horrifying image cremation grieving relative
1629074033638805508,Dr. Suhel Ansari,"Deoria, India",2023-02-24 11:01:31+00:00,"Building without columns 😭

Pray For Turkey"" Syria Earthquake 🤲😞💔

#TurkeySyriaEarthquake2023… https://t.co/J13z4dNRuv",['TurkeySyriaEarthquake2023'],1.0,2.0,India,20.5937,78.9629,building without column pray turkey syria earthquake turkeysyriaearthquake
1629069998114353152,Calibraint,"Chennai, India",2023-02-24 10:45:28+00:00,"Did You Know?

#Floki Launched #NFT Sale to Support #Turkey Earthquake Relief

https://t.co/hEFhViVXUn… https://t.co/onRJbfXqHh","['Floki', 'NFT', 'Turkey']",1.0,2.0,India,20.5937,78.9629,know floki launched nft sale support turkey earthquake relief
1628869187635404800,⚡optimumhustle⚡,United Kingdom,2023-02-23 21:27:31+00:00,What kind of dirty country sends rescue aid to Turkey only to then steal ancient artefacts from Turkey? Taking adva… https://t.co/BN2iibNeCy,,0.0,2.0,United Kingdom,55.3781,-3.436,kind dirty country sends rescue aid turkey steal ancient artefact turkey taking adva
1628794345125183490,News Core India,"New Delhi, India",2023-02-23 16:30:08+00:00,"2 months old, 120 hrs under the rubble just in case you don’t believe in miracles. 

#Turkey #TurkeyEarthquake… https://t.co/Sqm4SGf4e1","['Turkey', 'TurkeyEarthquake']",3.0,8.0,India,20.5937,78.9629,month old hr rubble case believe miracle turkey turkeyearthquake
1628790123738578945,Mohammed Farzan Ahmed,"Hyderabad, India",2023-02-23 16:13:21+00:00,"@thesiasattv primetime #news 
#pavankhera #Congress 
@INCIndia
@revanth_anumula
@INCTelangana
#BJP #DelhiAirport… https://t.co/70wiFZM3lx","['news', 'pavankhera', 'Congress', 'BJP', 'DelhiAirport']",2.0,4.0,India,20.5937,78.9629,thesiasattv primetime news pavankhera congress incindia revanth anumula inctelangana bjp delhiairport
1628764748518129667,Sofa Stream,Australia,2023-02-23 14:32:31+00:00,#earthquake3D last 3 days of &gt;5 quakes. Please support #Turkiye #TurkeyQuake #TajikistanEarthquake #love https://t.co/FEmY1XSnYE,"['earthquake3D', 'Turkiye', 'TurkeyQuake', 'TajikistanEarthquake', 'love']",12.0,19.0,Australia,-25.2744,133.7751,earthquake last day gt quake please support turkiye turkeyquake tajikistanearthquake love
1628759080314744832,Viral Tab,United Kingdom,2023-02-23 14:10:00+00:00,This is the moment two brothers cheerfully wave at the camera after spending 198 hours trapped under the rubble in… https://t.co/RDdjIwyORl,,1.0,1.0,United Kingdom,55.3781,-3.436,moment two brother cheerfully wave camera spending hour trapped rubble
1628729613211025409,Firstpost,"Mumbai, India",2023-02-23 12:12:54+00:00,"#FPNews
News channels critical of #Erdogan 's admin for bad handling of quake relief banned, fined
#TurkeyQuake 
https://t.co/5vdy2upqAl","['FPNews', 'Erdogan', 'TurkeyQuake']",0.0,2.0,India,20.5937,78.9629,fpnews news channel critical erdogan admin bad handling quake relief banned fined turkeyquake
1628722500027977728,Firstpost,"Mumbai, India",2023-02-23 11:44:38+00:00,"#FPNews
From #Morbi in 1979 to #Turkey in 2023, #PrimeMinister #NarendraModi has always stood tall and as a pillar… https://t.co/uYocCgRsjE","['FPNews', 'Morbi', 'Turkey', 'PrimeMinister', 'NarendraModi']",7.0,35.0,India,20.5937,78.9629,fpnews morbi turkey primeminister narendramodi always stood tall pillar
1628702091270320129,Siddharth,"New Delhi, India",2023-02-23 10:23:33+00:00,"Om chanting 🕉️dhwani meditation experience  share by  sir(hindu's clg students) in meditation class 
Pls keep doing… https://t.co/0PMnS8xmDH",,0.0,0.0,India,20.5937,78.9629,om chanting dhwani meditation experience share sir hindu clg student meditation class pls keep
1628688362034053120,Mirror Now,India,2023-02-23 09:28:59+00:00,A baby girl who was born under earthquake rubble has been adopted by her uncle after losing her entire family in th… https://t.co/KVubPRu82d,,0.0,0.0,India,20.5937,78.9629,baby girl born earthquake rubble adopted uncle losing entire family th
1628679174725464066,bianet English,Turkey,2023-02-23 08:52:29+00:00,"Military helicopters deployed to rescue pets trapped in Diyarbakır residential complex 

After an outcry from local… https://t.co/wRRKAiP2wz",,1.0,5.0,Turkey,38.9637,35.2433,military helicopter deployed rescue pet trapped diyarbak r residential complex outcry local
1628647852493733889,VickySinXD 🔺🇮🇳,"Kolkata, India",2023-02-23 06:48:01+00:00,Turkey has launched a temporary wage support scheme and banned layoffs in 10 cities to protect workers and business… https://t.co/gzacwXaWFA,,12.0,23.0,India,20.5937,78.9629,turkey launched temporary wage support scheme banned layoff city protect worker business
1628643473162407936,Ajay Kumar Hitkari,"Bulandshahr - UP, India",2023-02-23 06:30:37+00:00,"An interfaith prayer ceremony for the victims of Turkey's earthquake.
#TurkeyQuake #turkeyearthquake2023… https://t.co/mFkQxFhSBp","['TurkeyQuake', 'turkeyearthquake2023']",0.0,0.0,India,20.5937,78.9629,interfaith prayer ceremony victim turkey earthquake turkeyquake turkeyearthquake
1628626652036038656,Engin Altan Duzyatan,"Istanbul, Turkey",2023-02-23 05:23:46+00:00,"Help Turkey
#TurkeyQuake 
#TurkeyEarthquake 
#TurkeySyriaEarthquake https://t.co/lPQ5i1zZUF","['TurkeyQuake', 'TurkeyEarthquake', 'TurkeySyriaEarthquake']",750.0,4213.0,Turkey,38.9637,35.2433,help turkey turkeyquake turkeyearthquake turkeysyriaearthquake
1628620182225833984,TradeImeX®,"New Delhi, India",2023-02-23 04:58:04+00:00,"GLOBAL TRADE DATA is projected to decline in LDCs in the year 2023! Shocked?
Click the link to know more… https://t.co/CsrkC5joRR",,0.0,1.0,India,20.5937,78.9629,global trade data projected decline ldcs year shocked click link know
1628612306463490050,"Ahmed,Esquire","USA, Turkey",2023-02-23 04:26:46+00:00,#Turkey still needs our help. Humanity First is on the ground using more than 90% of our donations 4 the cause. don… https://t.co/G8llM0CD5D,['Turkey'],0.0,2.0,Turkey,38.9637,35.2433,turkey still need help humanity first ground using donation cause
